date,pm25,pm10,o3,no2,so2,co,pm25_predicted,pm10_predicted,o3_predicted,no2_predicted,so2_predicted,co_predicted
2022-08-08,24.0,12.0,25.0,19.0,2.0,2.0,,,,,,
2022-08-09,31.0,9.0,23.0,15.0,1.0,2.0,,,,,,
2022-08-10,16.0,7.0,21.0,17.0,1.0,2.0,,,,,,
2022-08-11,14.0,9.0,24.0,19.0,1.0,2.0,,,,,,
2022-08-12,19.0,13.0,33.0,20.0,2.0,3.0,,,,,,
2022-08-13,37.0,11.0,35.0,19.0,2.0,3.0,,,,,,
2022-08-14,32.0,13.0,31.999999999999996,23.0,2.0,3.0,,,,,,
2022-08-15,33.0,17.0,35.0,24.0,2.0,2.0,,,,,,
2022-08-16,33.0,11.0,44.0,23.0,2.0,2.0,,,,,,
2022-08-17,29.0,16.0,42.0,21.0,2.0,2.0,,,,,,
2022-08-18,38.0,23.0,38.0,15.0,2.0,2.0,,,,,,
2022-08-19,45.0,13.0,18.0,18.0,2.0,2.0,,,,,,
2022-08-20,43.0,8.0,13.0,19.0,1.0,2.0,,,,,,
2022-08-21,29.0,8.0,22.0,19.0,2.0,2.0,,,,,,
2022-08-22,28.0,9.0,23.0,19.0,1.0,2.0,,,,,,
2022-08-23,31.0,13.0,21.0,18.0,1.0,2.0,,,,,,
2022-08-24,41.0,18.0,34.0,20.0,2.0,2.0,,,,,,
2022-08-25,44.0,25.0,34.0,18.0,2.0,2.0,,,,,,
2022-08-26,44.0,25.0,41.0,23.0,2.0,2.0,,,,,,
2022-08-27,45.0,13.0,33.0,15.0,2.0,1.0,,,,,,
2022-08-28,28.0,10.0,23.0,18.0,1.0,2.0,,,,,,
2022-08-29,31.0,12.0,26.0,20.0,2.0,2.0,,,,,,
2022-08-30,34.0,13.0,28.0,13.0,2.0,3.0,,,,,,
2022-08-31,28.0,7.0,13.0,13.0,2.0,3.0,,,,,,
2022-09-01,17.0,8.0,15.999999999999998,11.0,2.0,3.0,,,,,,
2022-09-02,18.0,14.0,20.0,12.0,2.0,3.0,22.230568885803223,10.275662899017334,19.075233608484268,12.487906217575073,1.745901107788086,3.1199127435684204
2022-09-03,37.0,10.0,17.0,11.0,2.0,3.0,28.167941093444824,12.980066299438477,20.09451949596405,13.204081356525421,1.6184066236019135,3.341365158557892
2022-09-04,35.0,12.0,29.0,13.0,2.0,3.0,33.33714008331299,15.211938858032227,20.308046579360962,13.515090942382812,1.5510271489620209,3.5789039731025696
2022-09-05,39.0,12.0,28.0,14.000000000000002,2.0,3.0,37.55098628997803,17.039494514465332,20.45201015472412,13.543565571308136,1.5223988890647888,3.8064202666282654
2022-09-06,33.0,20.0,26.0,19.0,2.0,4.0,41.06845664978027,18.654982566833496,20.449164003133774,13.446804881095886,1.502891331911087,4.019498527050018
2022-09-07,55.0,21.0,22.0,19.0,2.0,4.0,44.15971755981445,20.01683235168457,20.15209236741066,13.589480519294739,1.4931422472000122,4.23334002494812
2022-09-08,47.0,5.0,19.0,13.0,2.0,3.0,47.18070030212402,21.207138061523438,20.35989210009575,13.558310270309448,1.471283882856369,4.410293996334076
2022-09-09,16.0,7.0,20.0,11.0,2.0,3.0,49.96732521057129,22.262045860290527,20.57620546221733,13.506856560707092,1.4392165839672089,4.564069211483002
2022-09-10,25.0,3.0,15.0,8.0,2.0,3.0,52.484928131103516,23.230899810791016,20.699045598506927,13.457782566547394,1.4113311469554901,4.713269472122192
